architecture,phase,phase_index,timestamp_ns,end_timestamp_ns,pss_mb,memory_mb
classicmvvm,01_AppLaunch,1,1761270686994,1761270687270,30,30
classicmvvm,02_ProductList_Initial,2,1761270687270,1761270741789,30,30
classicmvvm,03_ProductList_AfterScroll,3,1761270741789,1761270797536,30,30
classicmvvm,04_ProductDetail,4,1761270797536,1761270800147,30,30
classicmvvm,04_Cart_Initial,5,1761270800147,1761270806960,30,30
classicmvvm,05_Cart_AfterRapidUpdates,6,1761270806960,1761270809794,38,38
classicmvvm,06_Chat_Initial,7,1761270809794,1761270810944,30,30
classicmvvm,08_Chat_AfterRapidSwitching,8,1761270810944,1761270826230,31,31
classicmvvm,07_Chat_AfterMessageStream,9,1761270826230,1761270830197,30,30
classicmvvm,10_Peak_AfterAllOperations,10,1761270830197,,30,30
mvc,01_AppLaunch,1,1761442082098,1761442082373,30,30
mvc,02_ProductList_Initial,2,1761442082373,1761442136985,30,30
mvc,03_ProductList_AfterScroll,3,1761442136985,1761442192747,30,30
mvc,04_ProductDetail,4,1761442192747,1761442195374,30,30
mvc,04_Cart_Initial,5,1761442195374,1761442202726,30,30
mvc,05_Cart_AfterRapidUpdates,6,1761442202726,1761442205545,37,37
mvc,06_Chat_Initial,7,1761442205545,1761442206714,30,30
mvc,08_Chat_AfterRapidSwitching,8,1761442206714,1761442222003,30,30
mvc,07_Chat_AfterMessageStream,9,1761442222003,1761442226039,30,30
mvc,10_Peak_AfterAllOperations,10,1761442226039,,30,30
mvi,01_AppLaunch,1,1761306039500,1761306039777,29,29
mvi,02_ProductList_Initial,2,1761306039777,1761306094287,29,29
mvi,03_ProductList_AfterScroll,3,1761306094287,1761306150147,29,29
mvi,04_ProductDetail,4,1761306150147,1761306152757,29,29
mvi,04_Cart_Initial,5,1761306152757,1761306159434,30,30
mvi,05_Cart_AfterRapidUpdates,6,1761306159434,1761306162239,38,38
mvi,06_Chat_Initial,7,1761306162239,1761306163425,29,29
mvi,08_Chat_AfterRapidSwitching,8,1761306163425,1761306178717,30,30
mvi,07_Chat_AfterMessageStream,9,1761306178717,1761306183064,30,30
mvi,10_Peak_AfterAllOperations,10,1761306183064,,30,30
mvp,01_AppLaunch,1,1761296465339,1761296465621,30,30
mvp,02_ProductList_Initial,2,1761296465621,1761296520058,30,30
mvp,03_ProductList_AfterScroll,3,1761296520058,1761296576340,31,31
mvp,04_ProductDetail,4,1761296576340,1761296579025,30,30
mvp,04_Cart_Initial,5,1761296579025,1761296586582,30,30
mvp,05_Cart_AfterRapidUpdates,6,1761296586582,1761296589428,38,38
mvp,06_Chat_Initial,7,1761296589428,1761296590768,31,31
mvp,08_Chat_AfterRapidSwitching,8,1761296590768,1761296606053,31,31
mvp,07_Chat_AfterMessageStream,9,1761296606053,1761296610103,31,31
mvp,10_Peak_AfterAllOperations,10,1761296610103,,31,31
singlestatemvvm,01_AppLaunch,1,1761279872545,1761279872824,33,33
singlestatemvvm,02_ProductList_Initial,2,1761279872824,1761279927368,33,33
singlestatemvvm,03_ProductList_AfterScroll,3,1761279927368,1761279983079,33,33
singlestatemvvm,04_ProductDetail,4,1761279983079,1761279985660,33,33
singlestatemvvm,04_Cart_Initial,5,1761279985660,1761279992498,33,33
singlestatemvvm,05_Cart_AfterRapidUpdates,6,1761279992498,1761279995326,40,40
singlestatemvvm,06_Chat_Initial,7,1761279995326,1761279996459,33,33
singlestatemvvm,08_Chat_AfterRapidSwitching,8,1761279996459,1761280011749,33,33
singlestatemvvm,07_Chat_AfterMessageStream,9,1761280011749,1761280015762,33,33
singlestatemvvm,10_Peak_AfterAllOperations,10,1761280015762,,33,33
