Architecture,Scenario,Iteration,Raw_Energy_mWh,Raw_Duration_Sec,Normalized_Energy_mWh,Is_Spike
classicmvvm,Chat_Streaming,1,43.49,61.57,42.381,True
classicmvvm,Chat_Streaming,2,21.705,61.23,21.269,False
classicmvvm,Chat_Streaming,3,21.6675,61.35,21.1907,False
classicmvvm,Chat_Streaming,4,43.36,61.42,42.3575,True
classicmvvm,Chat_Streaming,5,21.68,61.34,21.2064,False
classicmvvm,Product_Browsing,1,21.475,93.75,13.744,False
classicmvvm,Product_Browsing,2,42.85,93.92,27.3744,False
classicmvvm,Product_Browsing,3,21.425,64.25,20.0078,False
classicmvvm,Product_Browsing,4,42.505,94.48,26.993,False
classicmvvm,Product_Browsing,5,42.77,93.77,27.367,False
classicmvvm,Shopping_Cart,1,21.58,61.54,21.04,False
classicmvvm,Shopping_Cart,2,43.08,92.06,28.0773,False
classicmvvm,Shopping_Cart,3,43.0,90.85,28.3985,False
classicmvvm,Shopping_Cart,4,43.05,90.89,28.419,False
classicmvvm,Shopping_Cart,5,42.95,91.42,28.1886,False
mvc,Chat_Streaming,1,21.565,61.76,20.9505,False
mvc,Chat_Streaming,2,21.565,61.38,21.0802,False
mvc,Chat_Streaming,3,21.5525,61.33,21.0851,False
mvc,Chat_Streaming,4,21.54,61.38,21.0557,False
mvc,Chat_Streaming,5,21.54,61.27,21.0935,False
mvc,Product_Browsing,1,42.575,64.01,39.9078,True
mvc,Product_Browsing,2,21.27,63.95,19.9562,False
mvc,Product_Browsing,3,42.54,64.12,39.8066,True
mvc,Product_Browsing,4,21.17,63.68,19.9466,False
mvc,Product_Browsing,5,42.34,63.62,39.9308,True
mvc,Shopping_Cart,1,21.44,61.06,21.0678,False
mvc,Shopping_Cart,2,21.395,61.21,20.9721,False
mvc,Shopping_Cart,3,21.3525,61.14,20.9544,False
mvc,Shopping_Cart,4,21.31,61.02,20.9538,False
mvc,Shopping_Cart,5,21.305,61.22,20.8804,False
mvi,Chat_Streaming,1,20.665,61.46,20.1741,False
mvi,Chat_Streaming,2,41.33,61.44,40.3613,True
mvi,Chat_Streaming,3,41.25,61.53,40.2243,True
mvi,Chat_Streaming,4,20.625,61.4,20.1547,False
mvi,Chat_Streaming,5,41.25,61.31,40.3686,True
mvi,Product_Browsing,1,20.335,64.18,19.0106,False
mvi,Product_Browsing,2,20.335,63.79,19.1268,False
mvi,Product_Browsing,3,20.32,63.77,19.1187,False
mvi,Product_Browsing,4,20.305,63.86,19.0777,False
mvi,Product_Browsing,5,20.305,64.01,19.033,False
mvi,Shopping_Cart,1,20.51,62.53,19.6802,False
mvi,Shopping_Cart,2,41.02,60.99,40.3542,True
mvi,Shopping_Cart,3,40.71,92.37,26.4437,False
mvi,Shopping_Cart,4,20.475,61.14,20.0932,False
mvi,Shopping_Cart,5,20.31,62.06,19.6358,False
mvp,Chat_Streaming,1,21.14,61.52,20.6177,False
mvp,Chat_Streaming,2,21.14,61.36,20.6714,False
mvp,Chat_Streaming,3,42.13,61.45,41.1359,True
mvp,Chat_Streaming,4,21.065,61.41,20.5813,False
mvp,Chat_Streaming,5,42.13,61.39,41.1761,True
mvp,Product_Browsing,1,20.8125,64.03,19.5026,False
mvp,Product_Browsing,2,41.63,64.05,38.9977,True
mvp,Product_Browsing,3,20.815,63.96,19.5263,False
mvp,Product_Browsing,4,41.32,64.16,38.6409,True
mvp,Product_Browsing,5,20.66,64.07,19.3476,False
mvp,Shopping_Cart,1,42.11,60.97,41.4401,True
mvp,Shopping_Cart,2,20.935,60.97,20.6019,False
mvp,Shopping_Cart,3,20.925,62.38,20.1266,False
mvp,Shopping_Cart,4,20.915,61.19,20.5083,False
mvp,Shopping_Cart,5,20.81,60.98,20.4756,False
singlestatemvvm,Chat_Streaming,1,42.62,91.52,27.9414,False
singlestatemvvm,Chat_Streaming,2,42.62,91.38,27.9842,False
singlestatemvvm,Chat_Streaming,3,42.56,91.2,28.0,False
singlestatemvvm,Chat_Streaming,4,42.5,91.15,27.9759,False
singlestatemvvm,Chat_Streaming,5,42.5,73.63,34.6326,False
singlestatemvvm,Product_Browsing,1,41.71,93.83,26.6716,False
singlestatemvvm,Product_Browsing,2,41.71,93.6,26.7372,False
singlestatemvvm,Product_Browsing,3,41.83,93.65,26.7998,False
singlestatemvvm,Product_Browsing,4,41.83,94.12,26.666,False
singlestatemvvm,Product_Browsing,5,41.78,93.62,26.7763,False
singlestatemvvm,Shopping_Cart,1,42.22,91.81,27.5918,False
singlestatemvvm,Shopping_Cart,2,42.28,91.1,27.8463,False
singlestatemvvm,Shopping_Cart,3,42.16,91.8,27.5556,False
singlestatemvvm,Shopping_Cart,4,42.025,92.57,27.2388,False
singlestatemvvm,Shopping_Cart,5,41.89,90.85,27.6654,False
